""

	3	0
	0	1	2	3
7	-0.9	-0.9	0.0	0.0
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.8	-0.7	-1.3542528000000003	-0.6
11	-0.8	-0.9359999999999999	0.0	0.0
12	-0.8	0.0	0.0	0.0
13	-0.8	-0.8	0.0	0.0
14	-0.8	-0.8	0.0	0.0
15	0.0	0.0	0.0	0.0

	3	2
	0	1	2	3
0	-1.6800000000000002	-1.832	-1.9004	-1.6280000000000001
1	-1.0	-1.0	-1.13	-1.18
2	-1.0	-1.0	0.0	0.0
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-1.3920000000000001	-1.302	-1.57136	-0.976
6	-0.9	-1.0919999999999999	-0.9359999999999999	-0.8
7	-0.9	-0.9	0.0	0.0
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.8	-0.7	-1.3542528000000003	-0.6
11	-0.8	-0.9359999999999999	0.0	0.0
12	-0.8	0.0	0.0	0.0
13	-0.8	-0.8	0.0	0.0
14	-0.8	-0.8	0.0	0.0
15	0.0	0.0	0.0	0.0

	3	1
	0	1	2	3
0	-1.6800000000000002	-1.832	-1.9004	-1.6280000000000001
1	-1.0	-1.0	-1.13	-1.18
2	-1.0	-1.0	0.0	0.0
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-1.3920000000000001	-1.302	-1.57136	-0.976
6	-0.9	-1.0919999999999999	-0.9359999999999999	-0.8
7	-0.9	-0.9	0.0	0.0
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.8	-0.7	-1.3542528000000003	-0.6
11	-0.8	-0.9359999999999999	-0.8744000000000001	0.0
12	-0.8	0.0	0.0	0.0
13	-0.8	-0.8	0.0	0.0
14	-0.8	-0.8	0.0	0.0
15	0.0	0.0	0.0	0.0

	3	2
	0	1	2	3
0	-1.6800000000000002	-1.832	-1.9004	-1.6280000000000001
1	-1.0	-1.0	-1.13	-1.18
2	-1.0	-1.0	0.0	0.0
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-1.3920000000000001	-1.302	-1.57136	-0.976
6	-0.9	-1.0919999999999999	-0.9359999999999999	-0.9
7	-0.9	-0.9	0.0	0.0
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.8	-0.7	-1.3542528000000003	-0.6
11	-0.8	-0.9359999999999999	-0.8744000000000001	0.0
12	-0.8	0.0	0.0	0.0
13	-0.8	-0.8	0.0	0.0
14	-0.8	-0.8	0.0	0.0
15	0.0	0.0	0.0	0.0

	3	3
	0	1	2	3
0	-1.6800000000000002	-1.832	-1.9004	-1.6280000000000001
1	-1.0	-1.0	-1.13	-1.18
2	-1.0	-1.0	0.0	0.0
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-1.3920000000000001	-1.302	-1.57136	-0.976
6	-0.9	-1.0919999999999999	-0.9359999999999999	-0.9
7	-0.9	-0.9	0.0	0.0
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.8	-0.7	-1.3542528000000003	-0.6
11	-0.8	-0.9359999999999999	-0.8744000000000001	-0.5
12	-0.8	0.0	0.0	0.0
13	-0.8	-0.8	0.0	0.0
14	-0.8	-0.8	0.0	0.0
15	0.0	0.0	0.0	0.0
16	0.0	0.0	0.0	0.0

	2	3
	0	1	2	3
0	-1.6800000000000002	-1.832	-1.9004	-1.6280000000000001
1	-1.0	-1.0	-1.13	-1.18
2	-1.0	-1.0	0.0	0.0
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-1.3920000000000001	-1.302	-1.57136	-0.976
6	-0.9	-1.0919999999999999	-0.9359999999999999	-0.9
7	-0.9	-0.9	0.0	0.0
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.8	-0.7	-1.3542528000000003	-0.6
11	-0.8	-0.9359999999999999	-0.8744000000000001	-0.5
12	-0.8	0.0	0.0	0.0
13	-0.8	-0.8	0.0	0.0
14	-0.8	-0.8	0.0	0.0
15	0.0	0.0	0.0	0.0
16	-0.5	0.0	0.0	0.0
17	0.0	0.0	0.0	0.0

	4	1
	0	1	2	3
0	-1.6800000000000002	-1.832	-1.9004	-1.6891200000000002
1	-1.0	-1.0	-1.13	-1.18
2	-1.0	-1.0	0.0	0.0
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-1.3920000000000001	-1.302	-1.57136	-0.976
6	-0.9	-1.0919999999999999	-0.9359999999999999	-0.9
7	-0.9	-0.9	0.0	0.0
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.8	-0.7	-1.3542528000000003	-0.6
11	-0.8	-0.9359999999999999	-0.8744000000000001	-0.5
12	-0.8	0.0	0.0	0.0
13	-0.8	-0.8	0.0	0.0
14	-0.8	-0.8	0.0	0.0
15	0.0	0.0	0.0	0.0
16	-0.5	0.0	0.0	0.0
17	0.0	0.0	0.0	0.0

	4	2
	0	1	2	3
0	-1.6800000000000002	-1.832	-1.9004	-1.6891200000000002
1	-1.0	-1.0	-1.13	-1.18
2	-1.0	-1.0	0.0	0.0
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-1.3920000000000001	-1.302	-1.57136	-1.1776
6	-0.9	-1.0919999999999999	-0.9359999999999999	-0.9
7	-0.9	-0.9	0.0	0.0
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.8	-0.7	-1.3542528000000003	-0.6
11	-0.8	-0.9359999999999999	-0.8744000000000001	-0.5
12	-0.8	0.0	0.0	0.0
13	-0.8	-0.8	0.0	0.0
14	-0.8	-0.8	0.0	0.0
15	0.0	0.0	0.0	0.0
16	-0.5	0.0	0.0	0.0
17	0.0	0.0	0.0	0.0

	4	2
	0	1	2	3
0	-1.6800000000000002	-1.832	-1.9004	-1.6891200000000002
1	-1.0	-1.0	-1.13	-1.18
2	-1.0	-1.0	0.0	0.0
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-1.3920000000000001	-1.302	-1.57136	-1.1776
6	-0.9	-1.0919999999999999	-0.9359999999999999	-0.9
7	-0.9	-0.9	0.0	0.0
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.8	-1.044	-1.3542528000000003	-0.6
11	-0.8	-0.9359999999999999	-0.8744000000000001	-0.5
12	-0.8	0.0	0.0	0.0
13	-0.8	-0.8	0.0	0.0
14	-0.8	-0.8	0.0	0.0
15	0.0	0.0	0.0	0.0
16	-0.5	0.0	0.0	0.0
17	0.0	0.0	0.0	0.0

	4	3
	0	1	2	3
0	-1.6800000000000002	-1.832	-1.9004	-1.6891200000000002
1	-1.0	-1.0	-1.13	-1.18
2	-1.0	-1.0	0.0	0.0
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-1.3920000000000001	-1.302	-1.57136	-1.1776
6	-0.9	-1.0919999999999999	-0.9359999999999999	-0.9
7	-0.9	-0.9	0.0	0.0
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.8	-1.044	-1.3542528000000003	-0.76
11	-0.8	-0.9359999999999999	-0.8744000000000001	-0.5
12	-0.8	0.0	0.0	0.0
13	-0.8	-0.8	0.0	0.0
14	-0.8	-0.8	0.0	0.0
15	0.0	0.0	0.0	0.0
16	-0.5	0.0	0.0	0.0
17	0.0	0.0	0.0	0.0

	3	3
	0	1	2	3
0	-1.6800000000000002	-1.832	-1.9004	-1.6891200000000002
1	-1.0	-1.0	-1.13	-1.18
2	-1.0	-1.0	0.0	0.0
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-1.3920000000000001	-1.302	-1.57136	-1.1776
6	-0.9	-1.0919999999999999	-0.9359999999999999	-0.9
7	-0.9	-0.9	0.0	0.0
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.8	-1.044	-1.3542528000000003	-0.76
11	-0.8	-0.9359999999999999	-0.8744000000000001	-0.5
12	-0.8	0.0	0.0	0.0
13	-0.8	-0.8	0.0	0.0
14	-0.8	-0.8	0.0	0.0
15	-0.5599999999999998	0.0	0.0	0.0
16	-0.5	0.0	0.0	0.0
17	0.0	0.0	0.0	0.0

	4	3
	0	1	2	3
0	-1.6800000000000002	-1.832	-1.9004	-1.6891200000000002
1	-1.0	-1.0	-1.13	-1.18
2	-1.0	-1.0	0.0	0.0
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-1.3920000000000001	-1.302	-1.57136	-1.1776
6	-0.9	-1.0919999999999999	-0.9359999999999999	-0.9
7	-0.9	-0.9	0.0	0.0
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.8	-1.044	-1.3542528000000003	-0.76
11	-0.8	-0.9359999999999999	-0.8744000000000001	-0.5
12	-0.8	0.0	0.0	0.0
13	-0.8	-0.8	0.0	0.0
14	-0.8	-0.8	0.0	0.0
15	-0.5599999999999998	0.0	0.0	0.0
16	-0.5	-0.3999999999999999	0.0	0.0
17	0.0	0.0	0.0	0.0

	4	3
	0	1	2	3
0	-1.6800000000000002	-1.832	-1.9004	-1.6891200000000002
1	-1.0	-1.0	-1.13	-1.18
2	-1.0	-1.0	0.0	0.0
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-1.3920000000000001	-1.302	-1.57136	-1.1776
6	-0.9	-1.0919999999999999	-0.9359999999999999	-0.9
7	-0.9	-0.9	0.0	0.0
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.8	-1.044	-1.3542528000000003	-0.76
11	-0.8	-0.9359999999999999	-0.8744000000000001	-0.5
12	-0.8	0.0	0.0	0.0
13	-0.8	-0.8	0.0	0.0
14	-0.8	-0.8	0.0	0.0
15	-0.5599999999999998	-0.3999999999999999	0.0	0.0
16	-0.5	-0.3999999999999999	0.0	0.0
17	0.0	0.0	0.0	0.0

	4	2
	0	1	2	3
0	-1.6800000000000002	-1.832	-1.9004	-1.6891200000000002
1	-1.0	-1.0	-1.13	-1.18
2	-1.0	-1.0	0.0	0.0
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-1.3920000000000001	-1.302	-1.57136	-1.1776
6	-0.9	-1.0919999999999999	-0.9359999999999999	-0.9
7	-0.9	-0.9	0.0	0.0
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.8	-1.044	-1.3542528000000003	-0.76
11	-0.8	-0.9359999999999999	-0.8744000000000001	-0.5
12	-0.8	0.0	0.0	0.0
13	-0.8	-0.8	0.0	0.0
14	-0.8	-0.8	0.0	0.0
15	-0.5599999999999998	-0.3999999999999999	-0.833360896	0.0
16	-0.5	-0.3999999999999999	0.0	0.0
17	0.0	0.0	0.0	0.0

	4	3
	0	1	2	3
0	-1.6800000000000002	-1.832	-1.9004	-1.6891200000000002
1	-1.0	-1.0	-1.13	-1.18
2	-1.0	-1.0	0.0	0.0
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-1.3920000000000001	-1.302	-1.57136	-1.1776
6	-0.9	-1.0919999999999999	-0.9359999999999999	-0.9
7	-0.9	-0.9	0.0	0.0
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.8	-1.044	-1.3542528000000003	-0.856
11	-0.8	-0.9359999999999999	-0.8744000000000001	-0.5
12	-0.8	0.0	0.0	0.0
13	-0.8	-0.8	0.0	0.0
14	-0.8	-0.8	0.0	0.0
15	-0.5599999999999998	-0.3999999999999999	-0.833360896	0.0
16	-0.5	-0.3999999999999999	0.0	0.0
17	0.0	0.0	0.0	0.0

	4	3
	0	1	2	3
0	-1.6800000000000002	-1.832	-1.9004	-1.6891200000000002
1	-1.0	-1.0	-1.13	-1.18
2	-1.0	-1.0	0.0	0.0
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-1.3920000000000001	-1.302	-1.57136	-1.1776
6	-0.9	-1.0919999999999999	-0.9359999999999999	-0.9
7	-0.9	-0.9	0.0	0.0
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.8	-1.044	-1.3542528000000003	-0.856
11	-0.8	-0.9359999999999999	-0.8744000000000001	-0.5
12	-0.8	0.0	0.0	0.0
13	-0.8	-0.8	0.0	0.0
14	-0.8	-0.8	0.0	0.0
15	-0.5599999999999998	-0.3999999999999999	-0.833360896	-0.3999999999999999
16	-0.5	-0.3999999999999999	0.0	0.0
17	0.0	0.0	0.0	0.0

	3	0
	0	1	2	3
0	-1.7160000000000002	-1.832	-1.9004	-1.6891200000000002
1	-1.0	-1.0	-1.13	-1.18
2	-1.0	-1.0	0.0	0.0
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-1.3920000000000001	-1.302	-1.57136	-1.1776
6	-0.9	-1.0919999999999999	-0.9359999999999999	-0.9
7	-0.9	-0.9	0.0	0.0
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.8	-1.044	-1.3542528000000003	-0.856
11	-0.8	-0.9359999999999999	-0.8744000000000001	-0.5
12	-0.8	0.0	0.0	0.0
13	-0.8	-0.8	0.0	0.0
14	-0.8	-0.8	0.0	0.0
15	-0.5599999999999998	-0.3999999999999999	-0.833360896	-0.3999999999999999
16	-0.5	-0.3999999999999999	0.0	0.0
17	0.0	0.0	0.0	0.0

	2	0
	0	1	2	3
0	-1.7160000000000002	-1.832	-1.9004	-1.6891200000000002
1	-1.24	-1.0	-1.13	-1.18
2	-1.0	-1.0	0.0	0.0
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-1.3920000000000001	-1.302	-1.57136	-1.1776
6	-0.9	-1.0919999999999999	-0.9359999999999999	-0.9
7	-0.9	-0.9	0.0	0.0
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.8	-1.044	-1.3542528000000003	-0.856
11	-0.8	-0.9359999999999999	-0.8744000000000001	-0.5
12	-0.8	0.0	0.0	0.0
13	-0.8	-0.8	0.0	0.0
14	-0.8	-0.8	0.0	0.0
15	-0.5599999999999998	-0.3999999999999999	-0.833360896	-0.3999999999999999
16	-0.5	-0.3999999999999999	0.0	0.0
17	0.0	0.0	0.0	0.0

	2	0
	0	1	2	3
0	-1.7160000000000002	-1.832	-1.9004	-1.6891200000000002
1	-1.24	-1.0	-1.13	-1.18
2	-1.0	-1.0	-0.29999999999999993	0.0
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-1.3920000000000001	-1.302	-1.57136	-1.1776
6	-0.9	-1.0919999999999999	-0.9359999999999999	-0.9
7	-0.9	-0.9	0.0	0.0
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.8	-1.044	-1.3542528000000003	-0.856
11	-0.8	-0.9359999999999999	-0.8744000000000001	-0.5
12	-0.8	0.0	0.0	0.0
13	-0.8	-0.8	0.0	0.0
14	-0.8	-0.8	0.0	0.0
15	-0.5599999999999998	-0.3999999999999999	-0.833360896	-0.3999999999999999
16	-0.5	-0.3999999999999999	0.0	0.0
17	0.0	0.0	0.0	0.0

	2	1
	0	1	2	3
0	-1.7160000000000002	-1.832	-1.9004	-1.6891200000000002
1	-1.24	-1.0	-1.13	-1.18
2	-1.0	-1.0	-0.29999999999999993	-0.29999999999999993
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-1.3920000000000001	-1.302	-1.57136	-1.1776
6	-0.9	-1.0919999999999999	-0.9359999999999999	-0.9
7	-0.9	-0.9	0.0	0.0
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.8	-1.044	-1.3542528000000003	-0.856
11	-0.8	-0.9359999999999999	-0.8744000000000001	-0.5
12	-0.8	0.0	0.0	0.0
13	-0.8	-0.8	0.0	0.0
14	-0.8	-0.8	0.0	0.0
15	-0.5599999999999998	-0.3999999999999999	-0.833360896	-0.3999999999999999
16	-0.5	-0.3999999999999999	0.0	0.0
17	0.0	0.0	0.0	0.0

	2	0
	0	1	2	3
0	-1.7160000000000002	-1.832	-1.9004	-1.6891200000000002
1	-1.24	-1.0	-1.13	-1.18
2	-1.0	-1.0	-0.29999999999999993	-0.29999999999999993
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-1.3920000000000001	-1.302	-1.57136	-1.1776
6	-0.9	-1.0919999999999999	-0.9359999999999999	-0.9
7	-0.9	-0.9	-0.37199999999999994	0.0
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.8	-1.044	-1.3542528000000003	-0.856
11	-0.8	-0.9359999999999999	-0.8744000000000001	-0.5
12	-0.8	0.0	0.0	0.0
13	-0.8	-0.8	0.0	0.0
14	-0.8	-0.8	0.0	0.0
15	-0.5599999999999998	-0.3999999999999999	-0.833360896	-0.3999999999999999
16	-0.5	-0.3999999999999999	0.0	0.0
17	0.0	0.0	0.0	0.0

	2	1
	0	1	2	3
0	-1.7160000000000002	-1.832	-1.9004	-1.6891200000000002
1	-1.24	-1.0	-1.13	-1.18
2	-1.0	-1.0	-0.29999999999999993	-0.5099999999999999
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-1.3920000000000001	-1.302	-1.57136	-1.1776
6	-0.9	-1.0919999999999999	-0.9359999999999999	-0.9
7	-0.9	-0.9	-0.37199999999999994	0.0
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.8	-1.044	-1.3542528000000003	-0.856
11	-0.8	-0.9359999999999999	-0.8744000000000001	-0.5
12	-0.8	0.0	0.0	0.0
13	-0.8	-0.8	0.0	0.0
14	-0.8	-0.8	0.0	0.0
15	-0.5599999999999998	-0.3999999999999999	-0.833360896	-0.3999999999999999
16	-0.5	-0.3999999999999999	0.0	0.0
17	0.0	0.0	0.0	0.0

	2	2
	0	1	2	3
0	-1.7160000000000002	-1.832	-1.9004	-1.6891200000000002
1	-1.24	-1.0	-1.13	-1.18
2	-1.0	-1.0	-0.29999999999999993	-0.5099999999999999
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-1.3920000000000001	-1.302	-1.57136	-1.1776
6	-0.9	-1.0919999999999999	-0.9359999999999999	-0.9
7	-0.9	-0.9	-0.37199999999999994	-0.29999999999999993
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.8	-1.044	-1.3542528000000003	-0.856
11	-0.8	-0.9359999999999999	-0.8744000000000001	-0.5
12	-0.8	0.0	0.0	0.0
13	-0.8	-0.8	0.0	0.0
14	-0.8	-0.8	0.0	0.0
15	-0.5599999999999998	-0.3999999999999999	-0.833360896	-0.3999999999999999
16	-0.5	-0.3999999999999999	0.0	0.0
17	0.0	0.0	0.0	0.0

	3	2
	0	1	2	3
0	-1.7160000000000002	-1.832	-1.9004	-1.6891200000000002
1	-1.24	-1.0	-1.13	-1.18
2	-1.0	-1.0	-0.29999999999999993	-0.5099999999999999
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-1.3920000000000001	-1.302	-1.57136	-1.1776
6	-0.9	-1.0919999999999999	-0.9359999999999999	-0.9
7	-0.9	-0.9	-0.37199999999999994	-0.29999999999999993
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.8	-1.044	-1.3542528000000003	-0.856
11	-0.8	-0.9359999999999999	-0.8744000000000001	-0.5
12	-0.8	-0.5246399999999999	0.0	0.0
13	-0.8	-0.8	0.0	0.0
14	-0.8	-0.8	0.0	0.0
15	-0.5599999999999998	-0.3999999999999999	-0.833360896	-0.3999999999999999
16	-0.5	-0.3999999999999999	0.0	0.0
17	0.0	0.0	0.0	0.0

	3	1
	0	1	2	3
0	-1.7160000000000002	-1.832	-1.9004	-1.6891200000000002
1	-1.24	-1.0	-1.13	-1.18
2	-1.0	-1.0	-0.29999999999999993	-0.5099999999999999
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-1.3920000000000001	-1.302	-1.57136	-1.1776
6	-0.9	-1.0919999999999999	-0.9359999999999999	-0.9
7	-0.9	-0.9	-0.37199999999999994	-0.29999999999999993
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.8	-1.044	-1.3542528000000003	-0.856
11	-0.8	-0.9359999999999999	-1.13672	-0.5
12	-0.8	-0.5246399999999999	0.0	0.0
13	-0.8	-0.8	0.0	0.0
14	-0.8	-0.8	0.0	0.0
15	-0.5599999999999998	-0.3999999999999999	-0.833360896	-0.3999999999999999
16	-0.5	-0.3999999999999999	0.0	0.0
17	0.0	0.0	0.0	0.0

	2	1
	0	1	2	3
0	-1.7160000000000002	-1.832	-1.9004	-1.6891200000000002
1	-1.24	-1.0	-1.13	-1.18
2	-1.0	-1.0	-0.29999999999999993	-0.5099999999999999
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-1.3920000000000001	-1.302	-1.57136	-1.1776
6	-1.146	-1.0919999999999999	-0.9359999999999999	-0.9
7	-0.9	-0.9	-0.37199999999999994	-0.29999999999999993
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.8	-1.044	-1.3542528000000003	-0.856
11	-0.8	-0.9359999999999999	-1.13672	-0.5
12	-0.8	-0.5246399999999999	0.0	0.0
13	-0.8	-0.8	0.0	0.0
14	-0.8	-0.8	0.0	0.0
15	-0.5599999999999998	-0.3999999999999999	-0.833360896	-0.3999999999999999
16	-0.5	-0.3999999999999999	0.0	0.0
17	0.0	0.0	0.0	0.0

	4	1
	0	1	2	3
0	-1.7160000000000002	-1.832	-1.9004	-1.7397120000000001
1	-1.24	-1.0	-1.13	-1.18
2	-1.0	-1.0	-0.29999999999999993	-0.5099999999999999
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-1.3920000000000001	-1.302	-1.57136	-1.1776
6	-1.146	-1.0919999999999999	-0.9359999999999999	-0.9
7	-0.9	-0.9	-0.37199999999999994	-0.29999999999999993
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.8	-1.044	-1.3542528000000003	-0.856
11	-0.8	-0.9359999999999999	-1.13672	-0.5
12	-0.8	-0.5246399999999999	0.0	0.0
13	-0.8	-0.8	0.0	0.0
14	-0.8	-0.8	0.0	0.0
15	-0.5599999999999998	-0.3999999999999999	-0.833360896	-0.3999999999999999
16	-0.5	-0.3999999999999999	0.0	0.0
17	0.0	0.0	0.0	0.0

	4	2
	0	1	2	3
0	-1.7160000000000002	-1.832	-1.9004	-1.7397120000000001
1	-1.24	-1.0	-1.13	-1.18
2	-1.0	-1.0	-0.29999999999999993	-0.5099999999999999
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-1.3920000000000001	-1.302	-1.57136	-1.27904
6	-1.146	-1.0919999999999999	-0.9359999999999999	-0.9
7	-0.9	-0.9	-0.37199999999999994	-0.29999999999999993
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.8	-1.044	-1.3542528000000003	-0.856
11	-0.8	-0.9359999999999999	-1.13672	-0.5
12	-0.8	-0.5246399999999999	0.0	0.0
13	-0.8	-0.8	0.0	0.0
14	-0.8	-0.8	0.0	0.0
15	-0.5599999999999998	-0.3999999999999999	-0.833360896	-0.3999999999999999
16	-0.5	-0.3999999999999999	0.0	0.0
17	0.0	0.0	0.0	0.0

	4	1
	0	1	2	3
0	-1.7160000000000002	-1.832	-1.9004	-1.7397120000000001
1	-1.24	-1.0	-1.13	-1.18
2	-1.0	-1.0	-0.29999999999999993	-0.5099999999999999
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-1.3920000000000001	-1.302	-1.57136	-1.27904
6	-1.146	-1.0919999999999999	-0.9359999999999999	-0.9
7	-0.9	-0.9	-0.37199999999999994	-0.29999999999999993
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.8	-1.044	-1.5348198400000002	-0.856
11	-0.8	-0.9359999999999999	-1.13672	-0.5
12	-0.8	-0.5246399999999999	0.0	0.0
13	-0.8	-0.8	0.0	0.0
14	-0.8	-0.8	0.0	0.0
15	-0.5599999999999998	-0.3999999999999999	-0.833360896	-0.3999999999999999
16	-0.5	-0.3999999999999999	0.0	0.0
17	0.0	0.0	0.0	0.0

	4	2
	0	1	2	3
0	-1.7160000000000002	-1.832	-1.9004	-1.7397120000000001
1	-1.24	-1.0	-1.13	-1.18
2	-1.0	-1.0	-0.29999999999999993	-0.5099999999999999
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-1.3920000000000001	-1.302	-1.57136	-1.360192
6	-1.146	-1.0919999999999999	-0.9359999999999999	-0.9
7	-0.9	-0.9	-0.37199999999999994	-0.29999999999999993
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.8	-1.044	-1.5348198400000002	-0.856
11	-0.8	-0.9359999999999999	-1.13672	-0.5
12	-0.8	-0.5246399999999999	0.0	0.0
13	-0.8	-0.8	0.0	0.0
14	-0.8	-0.8	0.0	0.0
15	-0.5599999999999998	-0.3999999999999999	-0.833360896	-0.3999999999999999
16	-0.5	-0.3999999999999999	0.0	0.0
17	0.0	0.0	0.0	0.0

	3	2
	0	1	2	3
0	-1.7160000000000002	-1.832	-1.9004	-1.7397120000000001
1	-1.24	-1.0	-1.13	-1.18
2	-1.0	-1.0	-0.29999999999999993	-0.5099999999999999
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-1.3920000000000001	-1.302	-1.57136	-1.360192
6	-1.146	-1.0919999999999999	-0.9359999999999999	-0.9
7	-0.9	-0.9	-0.37199999999999994	-0.29999999999999993
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.968	-1.044	-1.5348198400000002	-0.856
11	-0.8	-0.9359999999999999	-1.13672	-0.5
12	-0.8	-0.5246399999999999	0.0	0.0
13	-0.8	-0.8	0.0	0.0
14	-0.8	-0.8	0.0	0.0
15	-0.5599999999999998	-0.3999999999999999	-0.833360896	-0.3999999999999999
16	-0.5	-0.3999999999999999	0.0	0.0
17	0.0	0.0	0.0	0.0

	3	3
	0	1	2	3
0	-1.7160000000000002	-1.832	-1.9004	-1.7397120000000001
1	-1.24	-1.0	-1.13	-1.18
2	-1.0	-1.0	-0.29999999999999993	-0.5099999999999999
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-1.3920000000000001	-1.302	-1.57136	-1.360192
6	-1.146	-1.0919999999999999	-0.9359999999999999	-0.9
7	-0.9	-0.9	-0.37199999999999994	-0.29999999999999993
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.968	-1.044	-1.5348198400000002	-0.856
11	-0.8	-0.9359999999999999	-1.13672	-0.6
12	-0.8	-0.5246399999999999	0.0	0.0
13	-0.8	-0.8	0.0	0.0
14	-0.8	-0.8	0.0	0.0
