0,-0.3,0.0,0.0,0.0
0,-0.3,0.0,0.0,0.0
1,-0.3,0.0,0.0,0.0
0,-0.3,0.0,0.0,0.0
1,-0.3,0.0,0.0,0.0
2,-0.3,0.0,0.0,0.0
0,-0.3,0.0,0.0,0.0
1,-0.3,0.0,0.0,0.0
2,-0.3,0.0,0.0,0.0
3,-0.3,0.0,0.0,0.0
0,-0.3,0.0,0.0,0.0
1,-0.3,0.0,0.0,0.0
2,-0.3,0.0,0.0,0.0
3,-0.3,0.0,0.0,0.0
4,-0.3,0.0,0.0,0.0
0,-0.3,0.0,0.0,0.0
1,-0.3,0.0,0.0,0.0
2,-0.3,0.0,0.0,0.0
3,-0.3,0.0,0.0,0.0
4,-0.3,0.0,0.0,0.0
5,-0.3,0.0,0.0,0.0
0,-0.3,0.0,0.0,0.0
1,-0.3,0.0,0.0,0.0
2,-0.3,0.0,0.0,0.0
3,-0.3,0.0,0.0,0.0
4,-0.3,0.0,0.0,0.0
5,-0.51,0.0,0.0,0.0
0,-0.3,0.0,0.0,0.0
1,-0.3,0.0,0.0,0.0
2,-0.3,0.0,0.0,0.0
3,-0.3,0.0,0.0,0.0
4,-0.3,0.0,0.0,0.0
5,-0.51,-0.3,0.0,0.0
0,-0.3,0.0,0.0,0.0
1,-0.3,0.0,0.0,0.0
2,-0.3,0.0,0.0,0.0
3,-0.3,0.0,0.0,0.0
4,-0.3,-0.3,0.0,0.0
5,-0.51,-0.3,0.0,0.0
0,-0.3,0.0,0.0,0.0
1,-0.3,0.0,0.0,0.0
2,-0.3,0.0,0.0,0.0
3,-0.3,-0.3,0.0,0.0
4,-0.3,-0.3,0.0,0.0
5,-0.51,-0.3,0.0,0.0
0,-0.3,0.0,0.0,0.0
1,-0.3,0.0,0.0,0.0
2,-0.3,-0.3,0.0,0.0
3,-0.3,-0.3,0.0,0.0
4,-0.3,-0.3,0.0,0.0
5,-0.51,-0.3,0.0,0.0
0,-0.3,0.0,0.0,0.0
1,-0.3,-0.3,0.0,0.0
2,-0.3,-0.3,0.0,0.0
3,-0.3,-0.3,0.0,0.0
4,-0.3,-0.3,0.0,0.0
5,-0.51,-0.3,0.0,0.0
0,-0.3,-0.3,0.0,0.0
1,-0.3,-0.3,0.0,0.0
2,-0.3,-0.3,0.0,0.0
3,-0.3,-0.3,0.0,0.0
4,-0.3,-0.3,0.0,0.0
5,-0.51,-0.3,0.0,0.0
0,-0.3,-0.51,0.0,0.0
1,-0.3,-0.3,0.0,0.0
2,-0.3,-0.3,0.0,0.0
3,-0.3,-0.3,0.0,0.0
4,-0.3,-0.3,0.0,0.0
5,-0.51,-0.3,0.0,0.0
0,-0.3,-0.51,-0.3,0.0
1,-0.3,-0.3,0.0,0.0
2,-0.3,-0.3,0.0,0.0
3,-0.3,-0.3,0.0,0.0
4,-0.3,-0.3,0.0,0.0
5,-0.51,-0.3,0.0,0.0
0,-0.3,-0.51,-0.51,0.0
1,-0.3,-0.3,0.0,0.0
2,-0.3,-0.3,0.0,0.0
3,-0.3,-0.3,0.0,0.0
4,-0.3,-0.3,0.0,0.0
5,-0.51,-0.3,0.0,0.0
0,-0.3,-0.51,-0.51,-0.3
1,-0.3,-0.3,0.0,0.0
2,-0.3,-0.3,0.0,0.0
3,-0.3,-0.3,0.0,0.0
4,-0.3,-0.3,0.0,0.0
5,-0.51,-0.3,0.0,0.0
0,-0.3,-0.51,-0.51,-0.3
1,-0.3,-0.3,0.0,0.0
2,-0.3,-0.3,0.0,0.0
3,-0.3,-0.3,0.0,0.0
4,-0.3,-0.3,0.0,0.0
5,-0.51,-0.3,0.0,0.0
6,-0.3,0.0,0.0,0.0
0,-0.3,-0.51,-0.51,-0.3
1,-0.3,-0.3,0.0,0.0
2,-0.3,-0.3,0.0,0.0
3,-0.3,-0.3,0.0,0.0
4,-0.3,-0.3,0.0,0.0
5,-0.51,-0.3,0.0,0.0
6,-0.3,0.0,0.0,0.0
7,-0.3,0.0,0.0,0.0
0,-0.3,-0.51,-0.51,-0.3
1,-0.3,-0.3,0.0,0.0
